file_name,line,cwe,severity
Database.java,61,[918],Critical
XxeLesson.java,147,"[611,776,827]",Critical
XxeChallenge1OldWebService.java,128,"[611,776,827]",Critical
BrokenCryptoHomeMade.java,340,"[327,328]",High
BrokenCryptoHomeMade.java,317,"[327,328]",High
BrokenCryptoHomeMade.java,285,"[327,328]",High
BrokenCryptoHomeMade.java,341,"[1204,329]",High
BrokenCryptoHomeMade.java,318,"[1204,329]",High
BrokenCryptoHomeMade.java,286,"[1204,329]",High
SqlInjectionLesson.java,136,"[89,564]",High
UrlAccess3UserList.java,95,"[89,564]",High
SqlInjectionStoredProcedure.java,82,"[89,564]",High
SqlInjectionEscaping.java,88,"[89,564]",High
SqlInjectionEmail.java,92,"[89,564]",High
SqlInjection7.java,84,"[89,564]",High
SqlInjection6.java,90,"[89,564]",High
SqlInjection5VipCheck.java,81,"[89,564]",High
SqlInjection5CouponCheck.java,81,"[89,564]",High
SqlInjection4.java,98,"[89,564]",High
SqlInjection3.java,95,"[89,564]",High
SqlInjection1.java,91,"[89,564]",High
SessionManagement6SecretQuestion.java,229,"[89,564]",High
ModuleServletTemplate.java,157,"[89,564]",High
SessionProvider.java,186,"[89,564]",High
SessionProvider.java,163,"[89,564]",High
SessionProvider.java,98,"[89,564]",High
mProvider.java,159,"[89,564]",High
mProvider.java,136,"[89,564]",High
mProvider.java,79,"[89,564]",High
SecretProvider.java,159,"[89,564]",High
SecretProvider.java,136,"[89,564]",High
SecretProvider.java,79,"[89,564]",High
SLS.java,104,[614],High
Logout.java,77,[614],Medium
XssLesson.java,107,[79],Medium
XssChallengeTwo.java,112,[79],Medium
XssChallengeThree.java,110,[79],Medium
XssChallengeSix.java,113,[79],Medium
XssChallengeOne.java,110,[79],Medium
XssChallengeFive.java,113,[79],Medium
Setup.java,351,[209],Medium
